segment_id,total_feminicide,total_homicide,total_felony_murder,total_bodily_harm,total_theft_cellphone,total_armed_robbery_cellphone,total_theft_auto,total_armed_robbery_auto
100289,0.0,0.0,0.0,0.0,5.0,10.0,5.0,10.0
100290,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
100291,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100294,0.0,0.0,0.0,0.0,0.0,25.0,0.0,30.0
100295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100296,0.0,0.0,0.0,0.0,10.0,5.0,0.0,10.0
100297,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
100298,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
100299,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0
100300,0.0,0.0,0.0,0.0,0.0,45.0,0.0,15.0
100301,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0
100302,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100303,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0
100304,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100307,0.0,0.0,0.0,0.0,5.0,10.0,0.0,15.0
100308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100309,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0
100310,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0
100311,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0
100312,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
100313,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
100314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100315,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100316,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100317,0.0,5.0,0.0,0.0,10.0,5.0,0.0,10.0
100318,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0
100319,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100324,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100327,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0
100328,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0
100329,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0
100330,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100332,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0
100333,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0
100337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
113100,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
113117,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
113124,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
113146,0.0,5.0,0.0,0.0,180.0,1375.0,145.0,1510.0
113163,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
113166,0.0,0.0,0.0,0.0,5.0,30.0,0.0,70.0
113167,0.0,0.0,0.0,0.0,20.0,60.0,10.0,125.0
113168,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
113170,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
113171,0.0,0.0,5.0,0.0,70.0,65.0,15.0,60.0
113172,0.0,0.0,0.0,0.0,5.0,75.0,25.0,65.0
113173,0.0,0.0,0.0,0.0,35.0,125.0,35.0,175.0
113174,0.0,10.0,0.0,0.0,10.0,65.0,40.0,95.0
113175,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
113176,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0
113177,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
113178,0.0,15.0,0.0,0.0,5.0,105.0,0.0,115.0
113179,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0
113180,0.0,0.0,0.0,0.0,45.0,95.0,20.0,100.0
113181,0.0,0.0,0.0,0.0,25.0,105.0,15.0,120.0
113183,0.0,0.0,0.0,0.0,30.0,115.0,45.0,145.0
113184,0.0,5.0,0.0,0.0,25.0,105.0,25.0,65.0
113185,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
113186,0.0,0.0,0.0,0.0,90.0,340.0,60.0,355.0
113187,0.0,0.0,0.0,0.0,0.0,20.0,10.0,40.0
113188,0.0,10.0,0.0,0.0,65.0,270.0,20.0,305.0
116396,0.0,0.0,0.0,0.0,5.0,10.0,5.0,5.0
116397,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0
116398,0.0,0.0,0.0,0.0,5.0,5.0,5.0,15.0
116399,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0
116400,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
116401,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
116402,0.0,0.0,0.0,0.0,0.0,75.0,5.0,50.0
116403,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
116404,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
116405,0.0,0.0,0.0,0.0,5.0,35.0,0.0,10.0
116406,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0
116407,0.0,5.0,0.0,0.0,15.0,175.0,25.0,100.0
116408,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
116409,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
116410,0.0,0.0,0.0,0.0,30.0,15.0,0.0,30.0
116411,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0
116412,0.0,0.0,0.0,0.0,10.0,5.0,5.0,25.0
116413,0.0,0.0,0.0,0.0,15.0,40.0,10.0,35.0
116417,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
116419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
116420,0.0,0.0,0.0,0.0,10.0,35.0,15.0,55.0
116421,0.0,0.0,0.0,0.0,10.0,5.0,10.0,20.0
116422,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
116424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
116425,0.0,10.0,0.0,0.0,5.0,0.0,5.0,5.0
116426,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0
116427,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0
116428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
116429,0.0,0.0,0.0,0.0,5.0,5.0,0.0,10.0
116430,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
116431,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0
116432,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
116433,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
116435,0.0,0.0,0.0,0.0,5.0,10.0,0.0,10.0
120525,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0
120528,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0
120529,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
120531,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
120532,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
120533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
120534,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0
120535,0.0,0.0,0.0,0.0,5.0,55.0,0.0,40.0
120538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
120539,0.0,0.0,0.0,0.0,5.0,0.0,5.0,15.0
120541,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
120570,0.0,5.0,0.0,0.0,0.0,5.0,0.0,15.0
120571,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0
120572,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0
120573,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0
120576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
120577,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
129861,0.0,0.0,0.0,0.0,0.0,70.0,10.0,65.0
129862,0.0,0.0,0.0,0.0,5.0,35.0,5.0,35.0
129863,0.0,0.0,0.0,0.0,10.0,65.0,25.0,25.0
129864,0.0,0.0,0.0,0.0,0.0,30.0,5.0,30.0
129865,0.0,0.0,0.0,0.0,5.0,60.0,25.0,90.0
129866,0.0,0.0,0.0,0.0,0.0,20.0,5.0,50.0
129874,0.0,0.0,0.0,0.0,0.0,30.0,20.0,50.0
129875,0.0,0.0,0.0,0.0,0.0,45.0,10.0,20.0
129876,0.0,0.0,0.0,0.0,0.0,15.0,5.0,15.0
129877,0.0,0.0,0.0,0.0,10.0,40.0,25.0,50.0
129878,0.0,0.0,0.0,0.0,0.0,35.0,10.0,15.0
129879,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0
129880,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0
129881,0.0,0.0,0.0,0.0,0.0,35.0,0.0,60.0
129890,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
129891,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0
129892,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
129897,0.0,15.0,0.0,0.0,20.0,90.0,5.0,100.0
129898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
129903,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
129905,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
129916,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
142783,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
142785,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
143791,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
143793,0.0,0.0,5.0,0.0,55.0,365.0,40.0,535.0
143795,0.0,0.0,0.0,0.0,5.0,10.0,5.0,5.0
143796,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
143797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
143798,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0
143799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
143800,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
143801,0.0,0.0,0.0,0.0,10.0,25.0,0.0,50.0
143802,0.0,0.0,0.0,0.0,0.0,50.0,0.0,30.0
143803,0.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0
143804,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
145270,0.0,0.0,0.0,0.0,0.0,20.0,10.0,35.0
145271,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
145272,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
163986,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
163988,0.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0
163989,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
163991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
163992,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
163993,0.0,0.0,0.0,0.0,0.0,25.0,5.0,35.0
163994,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0
163995,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
163998,0.0,0.0,0.0,0.0,0.0,45.0,0.0,55.0
165603,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
165604,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
165605,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0
165606,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0
165607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165608,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0
165609,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
165610,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
165612,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0
165613,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0
165614,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0
165615,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
165616,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
165617,0.0,0.0,0.0,0.0,0.0,10.0,5.0,15.0
165618,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165619,0.0,0.0,0.0,0.0,5.0,25.0,20.0,20.0
165620,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165621,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
165622,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0
165623,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
165624,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165625,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165626,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
165627,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165630,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
165633,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165636,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165638,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
165639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165640,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165641,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0
165642,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
165643,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0
165644,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
165645,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165647,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
165651,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165652,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
165653,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
165654,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165655,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
165656,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165657,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
165658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
165659,0.0,0.0,0.0,0.0,0.0,20.0,5.0,25.0
165661,0.0,0.0,0.0,0.0,5.0,15.0,0.0,20.0
165665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165666,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
165668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165669,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0
165672,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
165677,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
165678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165681,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
165684,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
165691,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
165692,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
165693,0.0,0.0,0.0,0.0,10.0,0.0,5.0,5.0
165696,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
166474,0.0,0.0,0.0,0.0,5.0,30.0,5.0,0.0
166486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
166976,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0
166980,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0
166985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
166989,0.0,0.0,0.0,0.0,10.0,90.0,20.0,115.0
167011,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0
167012,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167067,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0
167070,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
167072,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0
167073,0.0,0.0,0.0,0.0,0.0,30.0,10.0,35.0
167075,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
167703,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
167705,0.0,0.0,0.0,0.0,0.0,15.0,5.0,30.0
167721,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
167786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167792,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
167815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
167823,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
167824,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
