segment_id,total_cellphone_crimes,total_auto_crimes
106224,5.0,0.0
106227,15.0,0.0
106233,35.0,0.0
106240,15.0,0.0
106241,30.0,0.0
106242,5.0,0.0
106281,70.0,5.0
109024,80.0,5.0
109032,520.0,5.0
109033,60.0,0.0
109035,50.0,0.0
127529,60.0,0.0
127530,5.0,0.0
127537,5.0,0.0
127538,10.0,0.0
127545,20.0,0.0
127718,40.0,5.0
127719,55.0,0.0
127720,80.0,0.0
127722,5.0,5.0
127771,5.0,0.0
127772,15.0,0.0
12940,105.0,5.0
12941,70.0,0.0
12942,70.0,0.0
12974,5.0,0.0
13023,10.0,0.0
13024,20.0,0.0
13028,180.0,5.0
13033,5.0,0.0
13034,15.0,15.0
13035,15.0,10.0
13036,25.0,5.0
13037,25.0,0.0
13038,5.0,10.0
13039,10.0,5.0
13040,15.0,10.0
13041,5.0,0.0
13042,5.0,5.0
13043,5.0,0.0
13044,15.0,5.0
13045,5.0,0.0
13046,10.0,0.0
13110,5.0,0.0
132055,20.0,20.0
132853,15.0,0.0
132904,25.0,10.0
132905,45.0,25.0
132906,40.0,10.0
132907,5.0,0.0
132911,45.0,0.0
132917,20.0,0.0
132918,5.0,0.0
132919,10.0,0.0
132920,10.0,0.0
132922,5.0,0.0
132924,10.0,0.0
132925,5.0,0.0
132932,5.0,0.0
138765,30.0,0.0
144066,35.0,0.0
144300,5.0,0.0
144302,30.0,10.0
145813,70.0,0.0
150951,5.0,0.0
150952,45.0,0.0
150954,50.0,5.0
150955,45.0,0.0
150956,75.0,5.0
150957,20.0,0.0
150958,325.0,15.0
150959,15.0,0.0
150960,215.0,0.0
150962,40.0,0.0
150963,45.0,0.0
151616,30.0,5.0
151617,50.0,0.0
151618,25.0,0.0
157239,95.0,0.0
157240,5.0,0.0
157241,30.0,5.0
157242,75.0,5.0
157243,5.0,0.0
157246,10.0,0.0
157247,15.0,5.0
157249,30.0,0.0
157251,5.0,0.0
157253,5.0,0.0
157254,15.0,0.0
157255,20.0,0.0
157256,10.0,0.0
157257,20.0,0.0
157258,5.0,0.0
157259,5.0,5.0
157260,10.0,0.0
157261,15.0,0.0
157262,55.0,0.0
157263,15.0,0.0
157264,35.0,0.0
157265,10.0,0.0
157266,5.0,0.0
157267,10.0,5.0
157268,5.0,0.0
157269,55.0,0.0
157270,15.0,0.0
157271,10.0,0.0
157272,20.0,5.0
157273,5.0,5.0
157274,35.0,10.0
157275,25.0,0.0
157276,50.0,0.0
157277,20.0,0.0
157278,5.0,0.0
157279,65.0,0.0
157280,10.0,0.0
157281,15.0,0.0
159298,110.0,5.0
170860,5.0,0.0
171515,145.0,0.0
171698,45.0,0.0
171699,20.0,5.0
171700,15.0,0.0
171701,25.0,0.0
171702,5.0,0.0
172411,10.0,0.0
172412,10.0,0.0
173044,5.0,0.0
173070,280.0,0.0
173083,20.0,0.0
173084,15.0,0.0
173089,25.0,0.0
173091,20.0,0.0
173092,35.0,0.0
173095,0.0,0.0
173100,15.0,0.0
173102,10.0,0.0
173114,0.0,10.0
173117,5.0,5.0
173123,35.0,0.0
173124,30.0,15.0
173125,5.0,5.0
173126,10.0,5.0
173127,15.0,0.0
173128,0.0,5.0
173129,20.0,0.0
173134,40.0,0.0
173136,5.0,0.0
173137,15.0,0.0
173138,0.0,5.0
173225,40.0,0.0
173227,20.0,0.0
177301,30.0,0.0
177812,10.0,0.0
177814,10.0,0.0
178652,35.0,0.0
183860,70.0,5.0
183861,75.0,0.0
183862,5.0,0.0
184138,10.0,0.0
195165,35.0,0.0
195166,20.0,0.0
195169,10.0,0.0
195397,95.0,0.0
202697,5.0,0.0
202698,25.0,10.0
202699,10.0,0.0
202700,85.0,5.0
202701,0.0,5.0
202702,15.0,0.0
204205,5.0,0.0
204206,5.0,0.0
204302,20.0,0.0
207363,15.0,5.0
207601,5.0,0.0
208982,5.0,0.0
211516,75.0,10.0
211821,25.0,0.0
212677,45.0,0.0
212678,10.0,0.0
212679,130.0,5.0
213861,10.0,0.0
213900,0.0,5.0
219211,20.0,5.0
219212,20.0,0.0
219294,15.0,0.0
219295,10.0,0.0
22328,70.0,5.0
22331,115.0,0.0
224926,10.0,10.0
224929,120.0,15.0
224930,20.0,5.0
224931,20.0,0.0
224932,40.0,0.0
224933,5.0,0.0
224934,5.0,0.0
224935,0.0,5.0
224936,265.0,5.0
224937,40.0,5.0
224939,45.0,5.0
224941,5.0,0.0
224945,420.0,5.0
224955,25.0,0.0
224956,20.0,5.0
224958,20.0,30.0
224960,5.0,0.0
224961,0.0,0.0
224970,5.0,0.0
224973,20.0,5.0
224984,25.0,0.0
22573,15.0,0.0
22574,15.0,0.0
22575,45.0,0.0
226316,35.0,35.0
226318,10.0,0.0
22710,20.0,0.0
22712,5.0,5.0
22713,25.0,0.0
22714,20.0,0.0
22728,20.0,0.0
22732,110.0,0.0
22737,5.0,0.0
23122,335.0,0.0
40338,10.0,0.0
40341,15.0,0.0
40343,110.0,0.0
59543,70.0,5.0
59544,20.0,0.0
59550,15.0,0.0
59552,35.0,0.0
59553,60.0,0.0
