segment_id,total_crimes
160538,1564.0
149515,678.0
160606,616.0
160607,597.0
111697,590.0
127455,573.0
132899,446.0
172841,430.0
201751,422.0
155778,417.0
226199,415.0
131081,394.0
111689,378.0
59483,372.0
219103,365.0
205851,350.0
202703,346.0
113146,306.0
22731,300.0
114926,286.0
174522,278.0
114927,273.0
114929,270.0
144311,270.0
223391,260.0
219011,256.0
111676,251.0
127782,249.0
155260,230.0
114928,226.0
114933,217.0
22646,217.0
172454,217.0
205850,213.0
114930,212.0
144147,206.0
224945,206.0
114932,204.0
168703,204.0
138518,204.0
173799,203.0
202704,200.0
22672,199.0
127447,199.0
30822,198.0
224922,192.0
132900,190.0
172834,184.0
136432,182.0
172820,172.0
127438,170.0
172490,166.0
178611,163.0
127474,160.0
224836,159.0
113079,158.0
127448,156.0
105321,153.0
135490,152.0
226257,150.0
114924,147.0
145817,146.0
132147,142.0
127442,141.0
127439,140.0
127423,140.0
113078,136.0
145967,135.0
182374,134.0
127446,134.0
22732,134.0
109032,133.0
157159,133.0
211898,132.0
198598,131.0
211881,131.0
180678,130.0
56396,128.0
127402,127.0
127425,126.0
127401,125.0
40335,125.0
197424,124.0
219720,124.0
114931,122.0
144312,121.0
205443,120.0
59482,120.0
13166,117.0
111688,116.0
198840,115.0
211897,115.0
132148,113.0
171515,112.0
172836,112.0
135645,110.0
127527,110.0
178645,109.0
22733,108.0
136893,108.0
147757,106.0
172487,105.0
211899,105.0
172491,104.0
206059,103.0
22300,103.0
145707,102.0
146864,102.0
224907,102.0
160603,101.0
115348,101.0
159528,100.0
198841,100.0
23122,99.0
22648,98.0
224320,97.0
224795,97.0
226256,97.0
213112,96.0
12758,96.0
150965,96.0
172843,96.0
55073,95.0
225405,95.0
142606,95.0
114925,94.0
22668,94.0
172455,94.0
224994,93.0
141648,93.0
13502,92.0
150960,91.0
153810,90.0
226733,90.0
202842,89.0
22652,88.0
153851,88.0
183283,86.0
113082,86.0
139215,85.0
150958,85.0
68465,84.0
154978,84.0
173041,84.0
136097,83.0
127473,82.0
150964,80.0
160614,80.0
127894,80.0
197002,80.0
172831,79.0
142352,79.0
127475,79.0
203208,78.0
138704,78.0
59541,78.0
188765,78.0
102265,78.0
70959,77.0
106183,76.0
197072,75.0
132201,75.0
172842,74.0
226355,74.0
10667,74.0
45781,73.0
113080,73.0
70679,73.0
208807,73.0
135646,72.0
59543,72.0
197993,72.0
115380,72.0
157897,71.0
65404,70.0
172486,70.0
214493,70.0
124545,70.0
151217,70.0
209400,70.0
209142,70.0
211522,69.0
173794,69.0
127719,68.0
157162,68.0
127572,68.0
198601,68.0
127403,67.0
160873,66.0
221770,66.0
222692,66.0
127421,66.0
197419,66.0
208091,65.0
213947,65.0
204710,65.0
160598,64.0
201911,64.0
150976,64.0
178539,64.0
200071,64.0
208808,64.0
22734,64.0
172985,63.0
88560,63.0
201386,63.0
173402,63.0
145968,62.0
224936,62.0
132678,62.0
127449,62.0
133624,62.0
160605,62.0
224952,62.0
181341,62.0
59638,62.0
22671,61.0
159297,61.0
138949,61.0
224923,61.0
173023,61.0
157230,61.0
227612,60.0
160604,60.0
200780,60.0
27870,60.0
22331,60.0
169319,60.0
46941,60.0
113083,59.0
169599,59.0
226197,59.0
65099,59.0
136734,59.0
157292,58.0
125259,58.0
2206,58.0
198054,57.0
180668,57.0
127451,57.0
127793,57.0
214942,57.0
170465,57.0
129389,57.0
212959,57.0
128033,56.0
127450,56.0
127472,56.0
142593,56.0
127400,56.0
140119,55.0
114982,54.0
176838,54.0
88777,54.0
172832,54.0
208809,54.0
147759,54.0
151625,54.0
115595,53.0
202619,53.0
22736,53.0
132454,52.0
106636,52.0
154812,51.0
